Hotel Name,Location,Rating,Review Score,Number of   ,Room    Score,Room Type,Bed Type,Room Price (in BDT or any other currency)
The Ozone Krabi Condotel,Krabi,8.3,Very Good,167,8.4,Triple Room with Mountain View,1 full bed,"   72,181"
Wixky hotel,Nong Khai,7.9,Good,24,,Deluxe Queen Room,1 queen bed,"   64,048"
Andaman Pearl Resort,Ao Nang Beach,8.5,Very Good,167,8.7,Deluxe Room,   1 double or 2 twins,"   82,153"
Cliff Cottage,"Bang Bao Bay, Ko Chang",8.7,Excellent,247,8.2,Tent- Mongolian Tent for 2 Adults,2 twin beds,"   58,225"
Phuket Beach Glamping,Rawai Beach,7.8,Good,48,,Geo Tent,1 queen bed,"   295,702"
Bansaeo Garden and Resort,Chiang Saen,8.8,Excellent,62,9.2,Deluxe Double Room with Bath,1 queen bed,"   129,390"
Elixir Koh Yao Yai - SHA Plus,Ko Yao Yai,8.8,Excellent,242,8.9,Superior Villa,1 full bed,"   168,386"
Momento Resort,Pattaya South,7.1,Good,807,,Double Room with Private Bathroom,1 king bed,"   42,052"
Sun Inn,Songkhla,8.4,Very Good,137,8.9,Standard Queen Room,1 queen bed,"   48,393"
The Patong Center Hotel-SHA Certified,Patong Beach,7.3,Good,110,,Deluxe Double Room,1 full bed,"   49,110"
The Chanthong Residence and Hotel Pattaya,Pattaya,8.3,Very Good,40,8.4,Standard Double Bed Room with Street View,1 king bed,"   41,806"
Koh Phaluai Beach Bangalow,Ban Ko Nok Taphao,9.1,Wonderful,36,8.3,Bungalow with Garden View,1 full bed,"   92,190"
Krabi River Hotel,Krabi,8.5,Very Good,359,8.5,Twin Room with Sea View,2 twin beds,"   63,469"
Atlantis Condo Resort jomtien,Jomtien Beach,6.6,Review score,80,,Standard Apartment,"2 beds (1 king, 1 sofa bed)","   70,938"
Kata Max Luxe1,Ban Karon,,,,,Two-Bedroom Villa,"3 beds (1 sofa bed, 2 queens)","   42,773"
"The Hideaway, Koh Lipe","Ko Lipe Sunrise Beach, Ko Lipe",7.9,Good,258,,Double Room with Garden View,1 queen bed,"   3,765,403"
Baan Chaylay Resort Karon,Karon Beach,7.9,Good,165,8.1,Standard Double Room,1 king bed,"   40,296"
