Hotel Name,Location,Rating,Review Score,Number of   ,Room    Score,Room Type,Bed Type,Room Price (in BDT or any other currency)
Sea Valley Resort,Lipa Noi,8.6,Excellent,416,8.8,Villa with Private Pool and Sea View,1 queen bed,"   381,700"
Pai Village Boutique Resort,Pai,9,Wonderful,883,9.2,Boutique Village,1 full bed,"   167,406"
Kim Jek Cin 2 Hotel - ????????????????2,Mukdahan,7.6,Good,92,,Standard Double Room,1 king bed,"   23,843"
Railay Bay Resort & Spa-SHA Extra Plus,Railay Beach,7.9,Good,"1,405",8.2,One Bedroom Luxury Pool Villa,"2 beds (1 sofa bed, 1 queen)","   1,122,920"
SUNRAY Guesthouse ?????????????????????,Uthai Thani,7.1,Good,63,,Deluxe Double Room,1 full bed,"   67,606"
The Joy Beach Villas,Hinkong,9.2,Wonderful,72,9.4,One-Bedroom Villa,"2 beds (1 full, 1 sofa bed)","   404,344"
Centara Reserve Samui - SHA Plus,"Chaweng City Center , Chaweng",9.4,Wonderful,509,9.6,Reserve Pool Suite,1 full bed,"   1,314,063"
SAii Phi Phi Island Village,"Loh Bagao Bay, Phi Phi Islands",8.5,Very Good,"1,393",8.9,Deluxe Premium Bungalow 1 King,1 king bed,"   543,711"
JP Emerald Hotel,Yasothon,5.6,Review score,28,,Superior Twin Room,2 twin beds,"   53,296"
Pugdee Hotel,Lang Suan,7.6,Good,94,,Standard Double Room,1 full bed,"   45,286"
Dusit Thani Pattaya - SHA Extra Plus,North Pattaya,8.3,Very Good,"2,168",8.6,One Bedroom Suite Twin,2 twin beds,"   435,265"
Pugdee Hotel,Lang Suan,7.6,Good,94,,Standard Double Room,1 full bed,"   45,286"
Dusit Thani Pattaya - SHA Extra Plus,North Pattaya,8.3,Very Good,"2,168",8.6,One Bedroom Suite Twin,2 twin beds,"   435,265"
Ramada Plaza by Wyndham Chao Fah Phuket,Phuket,8.1,Very Good,890,8.9,Deluxe Twin Room,2 twin beds,"   125,884"
Avani Plus Mai Khao Phuket Suites,Mai Khao Beach,9,Wonderful,113,9.4,One Bedroom Suite,"2 beds (1 king, 1 sofa bed)","   515,793"
Sand Sea Resort Railay Beach,Railay Beach,7.4,Good,"1,241",,Tropical Villa Double Bed (Sunrise Wing),"2 beds (1 king, 1 sofa bed)","   232,902"
Chiangkham Grand Villa - SHA Certified,Chiang Kham,7.9,Good,54,8.2,Superior Double or Twin Room,Multiple bed types,"   64,048"
Rajapruek Samui Resort - SHA Plus,Lipa Noi,7.1,Good,151,,Deluxe Double Room,1 king bed,"   108,882"
"Hotel Indigo Bangkok Wireless Road, an IHG Hotel","Pathumwan, Bangkok",8.9,Excellent,"1,051",9.4,Standard Room,   1 double or 2 twins,"   308,628"
Siam Boutique Hotel,Buriram,7.3,Good,222,,Standard Double Room,1 full bed,"   34,935"
Pinky Bungalow Resort - SHA Extra Plus,"Klong Khong Beach, Ko Lanta",8.7,Excellent,403,9,Luxury Room,1 king bed,"   63,632"
Crystal Resort Korat,Nakhon Ratchasima,8.1,Very Good,541,8.4,Presidential Suite,"3 beds (1 king, 2 sofa beds)","   49,492"
"Nakara Hotel, Ubon Ratchathani",Ban Na Kham,8.7,Excellent,43,9,Deluxe Double Room,1 queen bed,"   60,351"
The Sriracha Residence,Si Racha,8.2,Very Good,755,8.4,   Triple Room,"2 beds (1 twin, 1 king)","   79,852"
Lanta Sand Resort & Spa,"Long Beach, Ko Lanta",8.4,Very Good,403,8.7,Beach Front Pool Access,1 queen bed,"   253,788"
"Divalux Resort & Spa Bangkok, Suvarnabhumi Airport",Lat Krabang,7.4,Good,"2,006",8,Deluxe Twin Room,2 twin beds,"   103,502"
Coco Palm Beach Resort - SHA Extra Plus,Mae Nam,8,Very Good,"1,014",8,Superior Bungalow,   1 double or 2 twins,"   142,329"
"Phulay Bay, A Ritz-Carlton Reserve",Tab Kaek Beach,9.7,Exceptional,44,9.9,Reserve Pool Villa,2 king beds,"   2,427,065"
"Chanalai Flora Resort, Kata Beach - SHA Plus",Kata Beach,8.5,Very Good,797,8.7,Superior Double or Twin Room,Multiple bed types,"   180,038"
Cape Dara Resort - SHA Plus,North Pattaya,8.6,Excellent,655,8.9,Top Star Duplex Suite with Club Benefits,2 king beds,"   1,909,796"
Niwas Ayutthaya,Phra Nakhon Si Ayutthaya,8.1,Very Good,716,8,Superior Double Room,1 queen bed,"   73,752"
Sindhorn Kempinski Hotel Bangkok - SHA Extra Plus,"Pathumwan, Bangkok",9.4,Wonderful,403,9.6,Executive Club Twin Room,2 twin beds,"   1,267,650"
The Living Hotel SamutPrakan,Bang Bo,8.2,Very Good,52,8.3,Deluxe Double Room with Balcony,1 king bed,"   52,209"
Sunwing Kamala Beach - SHA Plus,Kamala Beach,8.8,Excellent,171,9.3,Studio with Pool View,   1 double or 2 twins,"   296,756"
Salad Buri Resort- SHA Extra Plus,Salad Beach,7.6,Good,315,8,Premier Double Room,1 queen bed,"   127,354"
The Pride Hotel Phitsanulok,Ban Ko,8.9,Excellent,60,9.2,Superior Twin Room,2 twin beds,"   116,451"
Chantaramas Resort,Baan Khai,8.1,Very Good,266,8.5,Deluxe Double Room,1 king bed,"   169,131"
Salad Beach Resort - SHA Extra Plus,Salad Beach,7.8,Good,394,8.1,Standard Double Room,1 queen bed,"   89,556"
Hyatt Regency Koh Samui- SHA Extra Plus,Chaweng,9.1,Wonderful,700,9.4,1 Bedroom Regency Suite,1 king bed,"   746,202"
Patravana Resort,Phayayen,7.8,Good,240,8,Vana Country View Suite,Multiple bed types,"   121,233"
dusitD2 Chiang Mai - SHA Extra Plus,"Chang Moi, Chiang Mai",8.5,Very Good,362,8.8,Club Deluxe King,1 king bed,"   228,459"
Four Seasons Resort Chiang Mai -SHA Plus,Mae Rim,9.4,Wonderful,127,9.6,One Bedroom Residence,"3 beds (2 twins, 1 king)","   4,804,680"
ibis Styles Bangkok Silom,"Bang Rak, Bangkok",8.6,Excellent,"1,042",9.1,Standard Twin Room,2 twin beds,"   125,551"
SKYVIEW Resort Phuket Patong Beach - SHA Extra Plus,Patong Beach,8.9,Excellent,669,9.4,Garden Studio,   1 double or 2 twins,"   238,380"
Cholchan Pattaya Beach Resort - SHA Extra Plus,Na Kluea,7.2,Good,411,,Superior Double or Twin Room with Garden View,   1 double or 2 twins,"   328,774"
ibis Styles Bangkok Ratchada,"Huai Khwang, Bangkok",8.3,Very Good,534,8.6,Standard Queen Room,1 full bed,"   131,916"
Dara Samui Beach Resort Adult Only - SHA Extra Plus,"Chaweng City Center , Chaweng",8,Very Good,393,8.5,Superior Double or Twin Room - Room Only,Multiple bed types,"   228,896"
Sasitara Thai Villas,Choeng Mon Beach,8.5,Very Good,440,8.5,Family Villa,"2 beds (1 twin, 1 full)","   206,506"
"Bandara Resort and Spa, Samui","Fisherman Village, Bophut",8.4,Very Good,275,8.7,Deluxe Double or Twin Room with Balcony,Multiple bed types,"   265,050"
The Royal Bamboo Lodges - SHA Certified,Khao Sok National Park,8.4,Very Good,297,8.5,Double Room with Garden View,Multiple bed types,"   64,048"
Cassia Phuket - SHA Extra Plus,"Laguna Phuket, Bang Tao Beach",8.3,Very Good,492,8.7,One-Bedroom Suite,1 queen bed,"   318,142"
7 Days Premium Hotel Don Meaung Airport,Ban Don Muang,8.2,Very Good,252,8.6,Superior Twin Room,2 twin beds,"   76,694"
The Midst@ Royal hills Nakornayok,Nakhon Nayok,8.6,Excellent,74,9,Two-Bedroom House,"4 beds (2 twins, 1 king, 1 sofa bed)","   333,075"
Dusit Thani Laguna Phuket - SHA Extra Plus,"Laguna Phuket, Bang Tao Beach",8.4,Very Good,884,8.6,Deluxe Double or Twin Room with Ocean View,1 king bed,"   423,038"
"InterContinental Koh Samui Resort, an IHG Hotel - SHA Extra Plus",Taling Ngam Beach,8.9,Excellent,129,9.4,Two-Bedroom Family Villa,"3 beds (2 twins, 1 king)","   1,317,972"
Grand Mercure Khao Lak Bangsak,"Bangsak Beach, Khao Lak",9,Wonderful,544,9.4,Deluxe Twin Room,2 twin beds,"   148,346"
Bandahara,Satun,8.1,Very Good,60,8.1,Apartment with Balcony,1 full bed,"   52,403"
"Supalai Scenic Bay Resort And Spa, SHA Extra Plus",Por Bay,7.6,Good,337,8.4,Super Deluxe Double room with Sea view,1 king bed,"   121,294"
Sofitel Krabi Phokeethra Golf and Spa Resort,Klong Muang Beach,8.4,Very Good,174,9.2,Superior Room with King Bed and Balcony,1 king bed,"   308,195"
Serenity Hotel and Spa Kabinburi,Kabin Buri,8.7,Excellent,108,8.9,Executive Pool View include Onsen,1 king bed,"   226,432"
MEET Boutique Resort,Suratthani,8.2,Very Good,339,8.6,Deluxe King Room,1 king bed,"   115,804"
Mövenpick Siam Hotel Na Jomtien Pattaya,Na Jomtien,8.2,Very Good,457,8.5,Deluxe Twin Room with Sea View,2 twin beds,"   304,867"
The Orchid Resort & Relax,Maha Sarakham,7.8,Good,68,8,Deluxe Bungalow with Garden View,1 king bed,"   54,991"
Rabbit Hotel Phimai,Phimai,7.7,Good,84,8.1,Superior Double Room,1 king bed,"   66,838"
Phanomrungpuri Hotel Buriram,Nang Rong,8.5,Very Good,168,8.8,Superior King Room,1 king bed,"   77,569"
"Holiday Inn Express Pattaya Central, an IHG Hotel - SHA Extra Plus",Pattaya,8.5,Very Good,"1,269",9.1,Standard Queen Room - Non-Smoking,1 queen bed,"   92,025"
Carlton Hotel Bangkok Sukhumvit - SHA Extra Plus,"Wattana, Bangkok",9.3,Wonderful,"1,432",9.7,Executive Room,Multiple bed types,"   478,958"
ibis Styles Krabi Ao Nang,Ao Nang Beach,8.3,Very Good,512,8.5,Standard Twin Room,2 twin beds,"   79,048"
"Kimpton Kitalay Samui, an IHG Hotel",Choeng Mon Beach,9.3,Wonderful,201,9.7,Standard Double Room,1 king bed,"   631,289"
Dream riverside,Ban Rai,8.6,Excellent,39,9.2,Quadruple Room with Mountain View,4 bunk beds,"   74,399"
Noku Phuket,Chalong,9.1,Wonderful,214,9.5,Loft Studio with Twin Bed,2 twin beds,"   552,883"
De Chai Colonial Hotel & Spa - SHA Plus,"Chang Moi, Chiang Mai",8.7,Excellent,370,9.1,Grand Deluxe Double or Twin Room (Room Only),   1 double or 2 twins,"   171,925"
Dinso Resort & Villas Phuket an IHG Hotel,"Nanai Road, Patong Beach",8.8,Excellent,316,9.1,Premium Room,,"   264,387"
Supachai Inn,Ban Ba Ngan,7.9,Good,217,8.2,Premium Quadruple Room,2 king beds,"   54,344"
Hua Hin Marriott Resort and Spa,Hua Hin,8.8,Excellent,621,9.3,"Superior, Guest room, 2 Double, Resort view",2 queen beds,"   391,847"
The Sea Koh Samui Resort and Residences by Tolani - SHA Extra Plus,Koh Samui,7.9,Good,208,8.4,Deluxe Suite Sea View,1 king bed,"   336,710"
Hotel Thomas Bangkok,Makkasan,8.4,Very Good,194,8.8,Suite with Terrace,"2 beds (1 sofa bed, 1 queen)","   542,206"
Wyndham Hua Hin Pranburi Resort & Villas,"Pak Nam Pran, Ban Pak Nam Pran",9,Wonderful,119,9.2,Garden Twin Room,2 twin beds,"   216,035"
Sugar Marina Resort-SURF-Kata Beach - SHA Plus,Kata Beach,7.9,Good,199,8,Deluxe Double or Twin Room,Multiple bed types,"   132,851"
Hop Inn Mae Sot,Mae Sot,8.4,Very Good,346,8.6,Standard  Double Room,1 full bed,"   40,111"
Pullman Phuket Panwa Beach Resort,Panwa Beach,8.1,Very Good,430,8.6,Deluxe King Room,1 king bed,"   252,896"
Bangrak Pier Bungalow,Bangrak Beach,8.9,Excellent,255,9.1,Bungalow with Garden View,1 king bed,"   118,530"
Baan Tonjaeng Resort,Chai Nat,9,Wonderful,48,9.2,Deluxe Double Room,1 king bed,"   61,460"
ibis Bangkok Sukhumvit 24,"Khlong Toei, Bangkok",8.2,Very Good,"1,305",8.6,Standard Queen Room,1 queen bed,"   112,277"
Lada Krabi Residence Hotel - SHA Plus,Krabi,8.2,Very Good,575,8.5,Superior Double Room,1 full bed,"   64,339"
Pimalai Resort & Spa - SHA Extra Plus,"Kan Tiang Beach, Ko Lanta",9.6,Exceptional,397,9.7,Deluxe Room - Free Krabi Airport Transfer,1 queen bed,"   827,816"
ibis Bangkok Sukhumvit 24,"Khlong Toei, Bangkok",8.2,Very Good,"1,305",8.6,Standard Queen Room,1 queen bed,"   112,277"
Lada Krabi Residence Hotel - SHA Plus,Krabi,8.2,Very Good,575,8.5,Superior Double Room,1 full bed,"   64,339"
Pimalai Resort & Spa - SHA Extra Plus,"Kan Tiang Beach, Ko Lanta",9.6,Exceptional,397,9.7,Deluxe Room - Free Krabi Airport Transfer,1 queen bed,"   827,816"
Shangrilah Bungalow,Mae Nam,8.5,Very Good,517,8.5,Standard Double Room,1 full bed,"   93,161"
Hotel Zing,Pattaya South,8.1,Very Good,938,8.4,Superior Double Room South Wing,1 full bed,"   61,647"
The deer resort,Chiang Mai,7.8,Good,285,8.4,Twin Room with Bath,2 twin beds,"   101,796"
Cross Pattaya Pratamnak - SHA Plus,Pattaya South,8.9,Excellent,116,9.4,Cross - Elite Suite,1 king bed,"   433,476"
Novotel Bangkok Sukhumvit 4,"Khlong Toei, Bangkok",8.4,Very Good,"1,669",9,Deluxe Twin Room,2 twin beds,"   175,964"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
